starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 24 14:27:53 2016	1456342073	372	1103	1475	224
Wed Feb 24 14:25:44 2016	1456341944	858	824	1682	201
Wed Feb 24 14:27:06 2016	1456342026	383	1400	1782	728
Wed Feb 24 14:26:02 2016	1456341962	373	1433	1805	225
Wed Feb 24 14:25:40 2016	1456341940	385	1424	1808	219
Wed Feb 24 14:25:56 2016	1456341956	374	1456	1830	190
Wed Feb 24 14:25:47 2016	1456341947	374	1472	1846	200
Wed Feb 24 14:25:42 2016	1456341942	365	1499	1865	236
Wed Feb 24 14:25:36 2016	1456341936	372	1497	1869	227
Wed Feb 24 14:25:30 2016	1456341930	379	1505	1884	239
Wed Feb 24 14:25:58 2016	1456341958	428	1470	1899	232
Wed Feb 24 14:25:32 2016	1456341932	373	1534	1907	210
Wed Feb 24 14:25:24 2016	1456341924	475	1449	1923	183
Wed Feb 24 14:25:04 2016	1456341904	387	1549	1936	254
Wed Feb 24 14:25:38 2016	1456341938	379	1558	1937	205
Wed Feb 24 14:26:00 2016	1456341960	410	1530	1940	212
Wed Feb 24 14:28:03 2016	1456342083	419	1529	1948	221
Wed Feb 24 14:25:10 2016	1456341910	438	1515	1954	181
Wed Feb 24 14:25:22 2016	1456341922	436	1530	1966	227
Wed Feb 24 14:25:12 2016	1456341912	431	1537	1969	187
Wed Feb 24 14:25:34 2016	1456341934	440	1538	1979	249
Wed Feb 24 14:27:34 2016	1456342054	432	1572	2005	197
Wed Feb 24 14:25:49 2016	1456341949	423	1584	2008	245
Wed Feb 24 14:27:49 2016	1456342069	369	1643	2012	219
Wed Feb 24 14:27:55 2016	1456342075	368	1652	2020	207
Wed Feb 24 14:25:26 2016	1456341926	479	1543	2021	232
Wed Feb 24 14:25:20 2016	1456341920	427	1598	2024	226
Wed Feb 24 14:25:16 2016	1456341916	430	1596	2026	247
Wed Feb 24 14:25:18 2016	1456341918	493	1534	2026	190
Wed Feb 24 14:27:13 2016	1456342033	358	1670	2028	200
Wed Feb 24 14:27:15 2016	1456342035	379	1668	2047	212
Wed Feb 24 14:25:08 2016	1456341908	498	1552	2050	230
Wed Feb 24 14:27:04 2016	1456342024	445	1627	2072	182
Wed Feb 24 14:26:44 2016	1456342004	376	1701	2077	202
Wed Feb 24 14:25:45 2016	1456341945	500	1577	2077	222
Wed Feb 24 14:25:54 2016	1456341954	534	1547	2081	191
Wed Feb 24 14:28:14 2016	1456342094	480	1603	2083	175
Wed Feb 24 14:26:53 2016	1456342013	368	1723	2091	175
Wed Feb 24 14:25:14 2016	1456341914	446	1653	2099	195
Wed Feb 24 14:27:57 2016	1456342077	362	1748	2110	201
Wed Feb 24 14:27:25 2016	1456342045	379	1733	2111	186
Wed Feb 24 14:26:13 2016	1456341973	425	1690	2115	199
Wed Feb 24 14:27:19 2016	1456342039	428	1692	2121	187
Wed Feb 24 14:25:28 2016	1456341928	453	1670	2123	190
Wed Feb 24 14:27:17 2016	1456342037	437	1695	2132	217
Wed Feb 24 14:26:08 2016	1456341968	419	1717	2136	186
Wed Feb 24 14:27:21 2016	1456342041	430	1709	2139	206
Wed Feb 24 14:26:35 2016	1456341995	427	1720	2146	187
Wed Feb 24 14:26:48 2016	1456342008	380	1767	2147	199
Wed Feb 24 14:27:40 2016	1456342060	428	1719	2147	190
Wed Feb 24 14:26:03 2016	1456341963	388	1770	2158	279
Wed Feb 24 14:27:38 2016	1456342058	432	1726	2158	233
Wed Feb 24 14:26:46 2016	1456342006	438	1723	2161	192
Wed Feb 24 14:28:01 2016	1456342081	428	1740	2169	181
Wed Feb 24 14:26:40 2016	1456342000	461	1710	2171	181
Wed Feb 24 14:27:23 2016	1456342043	512	1673	2184	210
Wed Feb 24 14:27:10 2016	1456342030	375	1811	2187	411
Wed Feb 24 14:27:51 2016	1456342071	366	1824	2190	1044
Wed Feb 24 14:27:30 2016	1456342050	428	1763	2191	200
Wed Feb 24 14:27:08 2016	1456342028	444	1753	2197	200
Wed Feb 24 14:27:36 2016	1456342056	491	1710	2201	194
Wed Feb 24 14:26:29 2016	1456341989	437	1764	2201	179
Wed Feb 24 14:26:33 2016	1456341993	436	1772	2209	201
Wed Feb 24 14:27:45 2016	1456342065	483	1730	2213	240
Wed Feb 24 14:26:31 2016	1456341991	368	1849	2217	190
Wed Feb 24 14:25:06 2016	1456341906	375	1843	2218	209
Wed Feb 24 14:27:32 2016	1456342052	572	1649	2221	179
Wed Feb 24 14:27:43 2016	1456342063	426	1800	2226	235
Wed Feb 24 14:26:10 2016	1456341970	430	1796	2226	239
Wed Feb 24 14:27:47 2016	1456342067	501	1733	2234	221
Wed Feb 24 14:26:42 2016	1456342002	451	1784	2235	178
Wed Feb 24 14:27:02 2016	1456342022	431	1805	2236	226
Wed Feb 24 14:26:37 2016	1456341997	378	1867	2245	207
Wed Feb 24 14:26:24 2016	1456341984	527	1729	2256	212
Wed Feb 24 14:28:26 2016	1456342106	438	1819	2257	197
Wed Feb 24 14:26:55 2016	1456342015	443	1816	2259	250
Wed Feb 24 14:26:22 2016	1456341982	491	1773	2263	200
Wed Feb 24 14:26:19 2016	1456341979	432	1843	2275	218
