starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 24 14:27:59 2016	1456342079	436	1845	2281	225
Wed Feb 24 14:27:27 2016	1456342047	499	1808	2307	178
Wed Feb 24 14:26:17 2016	1456341977	571	1754	2326	204
Wed Feb 24 14:28:21 2016	1456342101	420	1942	2361	191
Wed Feb 24 14:28:23 2016	1456342103	449	1916	2365	180
Wed Feb 24 14:27:00 2016	1456342020	377	2005	2382	223
Wed Feb 24 14:26:26 2016	1456341986	437	1948	2385	199
Wed Feb 24 14:28:33 2016	1456342113	426	1962	2388	227
Wed Feb 24 14:28:30 2016	1456342110	442	1954	2396	197
Wed Feb 24 14:28:28 2016	1456342108	428	1991	2419	181
Wed Feb 24 14:26:57 2016	1456342017	485	1937	2422	205
Wed Feb 24 14:26:50 2016	1456342010	445	1992	2437	377
Wed Feb 24 14:28:16 2016	1456342096	502	1968	2470	183
Wed Feb 24 14:28:35 2016	1456342115	499	1981	2480	179
Wed Feb 24 14:26:15 2016	1456341975	422	2110	2532	250
Wed Feb 24 14:28:18 2016	1456342098	455	2088	2543	204
Wed Feb 24 14:28:37 2016	1456342117	430	2122	2552	205
Wed Feb 24 14:28:08 2016	1456342088	426	2152	2578	190
Wed Feb 24 14:25:51 2016	1456341951	749	1830	2579	186
Wed Feb 24 14:26:05 2016	1456341965	375	2286	2661	253
Wed Feb 24 14:28:05 2016	1456342085	394	2275	2669	375
Wed Feb 24 14:28:11 2016	1456342091	795	2265	3060	242
