starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 24 14:22:50 2016	1456341770	0	239	239	222
Wed Feb 24 14:23:04 2016	1456341784	373	851	1224	211
Wed Feb 24 14:23:05 2016	1456341785	414	1147	1561	194
Wed Feb 24 14:22:36 2016	1456341756	707	905	1612	248
Wed Feb 24 14:23:06 2016	1456341786	391	1346	1737	182
Wed Feb 24 14:23:07 2016	1456341787	369	1487	1856	194
Wed Feb 24 14:22:36 2016	1456341756	381	1488	1869	177
Wed Feb 24 14:22:36 2016	1456341756	392	1507	1900	199
Wed Feb 24 14:22:53 2016	1456341773	375	1542	1916	188
Wed Feb 24 14:22:49 2016	1456341769	385	1559	1944	200
Wed Feb 24 14:23:02 2016	1456341782	392	1580	1972	186
Wed Feb 24 14:22:50 2016	1456341770	430	1542	1972	210
Wed Feb 24 14:22:53 2016	1456341773	380	1601	1980	211
Wed Feb 24 14:22:49 2016	1456341769	375	1611	1986	245
Wed Feb 24 14:22:51 2016	1456341771	372	1618	1990	193
Wed Feb 24 14:22:43 2016	1456341763	446	1547	1993	178
Wed Feb 24 14:22:47 2016	1456341767	382	1613	1995	212
Wed Feb 24 14:22:44 2016	1456341764	382	1616	1999	188
Wed Feb 24 14:22:50 2016	1456341770	384	1622	2007	195
Wed Feb 24 14:22:49 2016	1456341769	386	1628	2013	200
Wed Feb 24 14:22:44 2016	1456341764	384	1632	2016	213
Wed Feb 24 14:22:47 2016	1456341767	369	1647	2016	186
Wed Feb 24 14:22:41 2016	1456341761	392	1628	2020	208
Wed Feb 24 14:22:34 2016	1456341754	374	1650	2024	180
Wed Feb 24 14:22:51 2016	1456341771	437	1588	2025	198
Wed Feb 24 14:22:45 2016	1456341765	380	1646	2026	224
Wed Feb 24 14:22:48 2016	1456341768	393	1635	2027	182
Wed Feb 24 14:22:40 2016	1456341760	390	1638	2028	199
Wed Feb 24 14:22:38 2016	1456341758	377	1657	2033	170
Wed Feb 24 14:22:41 2016	1456341761	378	1659	2037	178
Wed Feb 24 14:22:40 2016	1456341760	389	1657	2046	219
Wed Feb 24 14:22:48 2016	1456341768	435	1611	2046	222
Wed Feb 24 14:22:34 2016	1456341754	361	1687	2049	196
Wed Feb 24 14:23:03 2016	1456341783	376	1679	2055	180
Wed Feb 24 14:22:45 2016	1456341765	372	1685	2056	204
Wed Feb 24 14:22:51 2016	1456341771	445	1621	2066	196
Wed Feb 24 14:22:57 2016	1456341777	403	1663	2066	186
Wed Feb 24 14:23:14 2016	1456341794	419	1662	2080	249
Wed Feb 24 14:23:05 2016	1456341785	402	1680	2082	248
Wed Feb 24 14:23:01 2016	1456341781	382	1702	2084	201
Wed Feb 24 14:22:46 2016	1456341766	377	1715	2092	206
Wed Feb 24 14:22:59 2016	1456341779	401	1696	2098	221
Wed Feb 24 14:22:45 2016	1456341765	385	1716	2101	255
Wed Feb 24 14:23:13 2016	1456341793	399	1721	2120	183
Wed Feb 24 14:22:42 2016	1456341762	444	1679	2123	221
Wed Feb 24 14:23:02 2016	1456341782	378	1745	2123	180
Wed Feb 24 14:23:07 2016	1456341787	361	1763	2124	239
Wed Feb 24 14:23:07 2016	1456341787	387	1742	2130	204
Wed Feb 24 14:23:05 2016	1456341785	409	1723	2132	193
Wed Feb 24 14:23:00 2016	1456341780	375	1767	2142	172
Wed Feb 24 14:22:39 2016	1456341759	373	1770	2142	255
Wed Feb 24 14:22:34 2016	1456341754	365	1778	2142	243
Wed Feb 24 14:22:38 2016	1456341758	432	1714	2146	229
Wed Feb 24 14:22:32 2016	1456341752	455	1693	2147	192
Wed Feb 24 14:23:03 2016	1456341783	377	1777	2154	178
Wed Feb 24 14:22:46 2016	1456341766	433	1722	2155	219
Wed Feb 24 14:23:07 2016	1456341787	371	1788	2160	195
Wed Feb 24 14:22:34 2016	1456341754	393	1776	2169	231
Wed Feb 24 14:23:00 2016	1456341780	433	1739	2171	193
Wed Feb 24 14:23:10 2016	1456341790	368	1805	2172	225
Wed Feb 24 14:22:42 2016	1456341762	464	1712	2176	242
Wed Feb 24 14:22:32 2016	1456341752	456	1724	2180	251
Wed Feb 24 14:22:42 2016	1456341762	431	1753	2184	233
Wed Feb 24 14:23:00 2016	1456341780	436	1748	2184	180
Wed Feb 24 14:23:11 2016	1456341791	433	1757	2191	200
Wed Feb 24 14:23:00 2016	1456341780	455	1738	2193	192
Wed Feb 24 14:22:43 2016	1456341763	468	1742	2210	206
Wed Feb 24 14:23:14 2016	1456341794	378	1833	2211	201
Wed Feb 24 14:22:32 2016	1456341752	488	1725	2213	231
Wed Feb 24 14:22:32 2016	1456341752	442	1779	2222	209
Wed Feb 24 14:22:40 2016	1456341760	387	1844	2231	202
Wed Feb 24 14:23:12 2016	1456341792	445	1791	2236	230
Wed Feb 24 14:22:58 2016	1456341778	435	1813	2247	235
Wed Feb 24 14:22:39 2016	1456341759	443	1807	2250	215
Wed Feb 24 14:23:11 2016	1456341791	447	1805	2252	247
Wed Feb 24 14:23:09 2016	1456341789	390	1869	2259	236
Wed Feb 24 14:22:58 2016	1456341778	382	1879	2262	186
Wed Feb 24 14:22:34 2016	1456341754	423	1851	2274	334
Wed Feb 24 14:23:12 2016	1456341792	438	1839	2277	224
Wed Feb 24 14:23:12 2016	1456341792	374	1904	2278	220
Wed Feb 24 14:22:58 2016	1456341778	424	1854	2278	256
Wed Feb 24 14:23:06 2016	1456341786	508	1771	2279	186
Wed Feb 24 14:22:47 2016	1456341767	580	1703	2283	235
Wed Feb 24 14:22:32 2016	1456341752	597	1696	2293	226
Wed Feb 24 14:22:58 2016	1456341778	441	1869	2310	217
Wed Feb 24 14:23:04 2016	1456341784	432	1903	2334	327
Wed Feb 24 14:23:03 2016	1456341783	489	1848	2337	231
Wed Feb 24 14:22:38 2016	1456341758	702	1713	2415	223
Wed Feb 24 14:22:36 2016	1456341756	473	2084	2557	220
Wed Feb 24 14:22:55 2016	1456341775	442	2173	2615	179
Wed Feb 24 14:22:52 2016	1456341772	378	2349	2727	186
Wed Feb 24 14:22:54 2016	1456341774	374	2362	2736	275
Wed Feb 24 14:22:55 2016	1456341775	443	2341	2785	180
Wed Feb 24 14:22:53 2016	1456341773	435	2351	2786	240
Wed Feb 24 14:22:55 2016	1456341775	510	2288	2798	210
Wed Feb 24 14:23:09 2016	1456341789	372	2449	2821	190
Wed Feb 24 14:22:36 2016	1456341756	535	2359	2894	250
Wed Feb 24 14:23:09 2016	1456341789	380	2515	2895	206
Wed Feb 24 14:23:08 2016	1456341788	430	2509	2939	187
Wed Feb 24 14:22:53 2016	1456341773	469	3801	4270	932
