starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 24 14:21:40 2016	1456341700	382	1726	2108	225
Wed Feb 24 14:21:40 2016	1456341700	407	1717	2124	237
Wed Feb 24 14:21:40 2016	1456341700	404	1725	2130	201
Wed Feb 24 14:21:40 2016	1456341700	452	1687	2139	185
Wed Feb 24 14:21:38 2016	1456341698	403	1773	2177	211
Wed Feb 24 14:21:38 2016	1456341698	385	1792	2177	213
Wed Feb 24 14:21:40 2016	1456341700	443	1748	2191	240
Wed Feb 24 14:21:38 2016	1456341698	436	1789	2225	184
Wed Feb 24 14:21:38 2016	1456341698	403	1828	2231	244
Wed Feb 24 14:21:38 2016	1456341698	365	1937	2301	236
