starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 24 14:23:44 2016	1456341824	963	802	1765	195
Wed Feb 24 14:24:00 2016	1456341840	374	1437	1811	174
Wed Feb 24 14:24:07 2016	1456341847	369	1458	1827	199
Wed Feb 24 14:24:31 2016	1456341871	361	1476	1837	241
Wed Feb 24 14:25:00 2016	1456341900	371	1468	1839	231
Wed Feb 24 14:23:58 2016	1456341838	380	1460	1841	180
Wed Feb 24 14:24:23 2016	1456341863	407	1443	1850	198
Wed Feb 24 14:24:22 2016	1456341862	369	1488	1856	194
Wed Feb 24 14:24:15 2016	1456341855	387	1470	1858	220
Wed Feb 24 14:24:33 2016	1456341873	378	1514	1892	195
Wed Feb 24 14:24:18 2016	1456341858	367	1526	1893	218
Wed Feb 24 14:23:54 2016	1456341834	370	1526	1896	209
Wed Feb 24 14:24:48 2016	1456341888	382	1530	1912	244
Wed Feb 24 14:24:41 2016	1456341881	380	1532	1912	223
Wed Feb 24 14:24:10 2016	1456341850	374	1539	1913	214
Wed Feb 24 14:24:27 2016	1456341867	362	1560	1923	230
Wed Feb 24 14:24:11 2016	1456341851	366	1560	1926	218
Wed Feb 24 14:24:04 2016	1456341844	383	1549	1932	264
Wed Feb 24 14:24:17 2016	1456341857	380	1554	1934	312
Wed Feb 24 14:24:19 2016	1456341859	385	1553	1938	250
Wed Feb 24 14:24:14 2016	1456341854	422	1515	1938	205
Wed Feb 24 14:24:20 2016	1456341860	444	1501	1945	204
Wed Feb 24 14:24:38 2016	1456341878	378	1567	1945	242
Wed Feb 24 14:24:37 2016	1456341877	381	1564	1945	190
Wed Feb 24 14:24:02 2016	1456341842	381	1567	1948	239
Wed Feb 24 14:24:44 2016	1456341884	382	1569	1951	199
Wed Feb 24 14:24:56 2016	1456341896	381	1572	1953	234
Wed Feb 24 14:24:40 2016	1456341880	383	1569	1953	201
Wed Feb 24 14:24:06 2016	1456341846	428	1526	1954	219
Wed Feb 24 14:23:59 2016	1456341839	446	1514	1960	215
Wed Feb 24 14:24:52 2016	1456341892	373	1595	1968	198
Wed Feb 24 14:24:16 2016	1456341856	425	1546	1971	208
Wed Feb 24 14:24:25 2016	1456341865	441	1531	1972	201
Wed Feb 24 14:24:09 2016	1456341849	363	1612	1975	186
Wed Feb 24 14:24:50 2016	1456341890	379	1598	1976	198
Wed Feb 24 14:24:29 2016	1456341869	371	1608	1980	223
Wed Feb 24 14:24:39 2016	1456341879	379	1603	1982	197
Wed Feb 24 14:25:02 2016	1456341902	374	1609	1983	241
Wed Feb 24 14:24:13 2016	1456341853	373	1611	1984	255
Wed Feb 24 14:24:59 2016	1456341899	387	1599	1986	190
Wed Feb 24 14:24:36 2016	1456341876	437	1552	1988	212
Wed Feb 24 14:24:43 2016	1456341883	374	1615	1989	278
Wed Feb 24 14:24:27 2016	1456341867	450	1540	1990	244
Wed Feb 24 14:23:57 2016	1456341837	374	1623	1997	249
Wed Feb 24 14:25:01 2016	1456341901	377	1624	2001	189
Wed Feb 24 14:24:01 2016	1456341841	484	1517	2001	220
Wed Feb 24 14:24:21 2016	1456341861	423	1582	2005	196
Wed Feb 24 14:24:12 2016	1456341852	441	1566	2008	236
Wed Feb 24 14:24:58 2016	1456341898	449	1559	2008	192
Wed Feb 24 14:23:56 2016	1456341836	376	1633	2009	216
Wed Feb 24 14:24:54 2016	1456341894	428	1584	2012	232
Wed Feb 24 14:24:03 2016	1456341843	484	1537	2021	204
Wed Feb 24 14:24:48 2016	1456341888	383	1644	2027	200
Wed Feb 24 14:24:46 2016	1456341886	420	1629	2049	227
Wed Feb 24 14:24:32 2016	1456341872	439	1612	2051	240
Wed Feb 24 14:24:25 2016	1456341865	533	1521	2053	197
Wed Feb 24 14:24:35 2016	1456341875	392	1662	2054	215
Wed Feb 24 14:23:23 2016	1456341803	422	1646	2068	193
Wed Feb 24 14:24:05 2016	1456341845	480	1588	2068	173
Wed Feb 24 14:24:08 2016	1456341848	595	1478	2073	205
Wed Feb 24 14:23:23 2016	1456341803	368	1715	2083	198
Wed Feb 24 14:23:52 2016	1456341832	374	1762	2136	198
Wed Feb 24 14:23:35 2016	1456341815	380	1772	2152	228
Wed Feb 24 14:23:18 2016	1456341798	387	1765	2152	181
Wed Feb 24 14:23:39 2016	1456341819	391	1766	2157	172
Wed Feb 24 14:23:21 2016	1456341801	430	1731	2161	199
Wed Feb 24 14:23:21 2016	1456341801	429	1732	2161	187
Wed Feb 24 14:24:42 2016	1456341882	544	1618	2162	223
Wed Feb 24 14:23:45 2016	1456341825	376	1789	2165	212
Wed Feb 24 14:23:37 2016	1456341817	369	1814	2183	216
Wed Feb 24 14:23:55 2016	1456341835	490	1697	2187	194
Wed Feb 24 14:23:25 2016	1456341805	374	1817	2191	192
Wed Feb 24 14:24:50 2016	1456341890	374	1825	2199	200
Wed Feb 24 14:23:44 2016	1456341824	447	1754	2201	179
Wed Feb 24 14:24:34 2016	1456341874	496	1705	2201	297
Wed Feb 24 14:23:30 2016	1456341810	416	1806	2222	232
Wed Feb 24 14:23:41 2016	1456341821	361	1863	2224	194
Wed Feb 24 14:24:23 2016	1456341863	463	1763	2226	365
Wed Feb 24 14:23:50 2016	1456341830	380	1858	2238	237
Wed Feb 24 14:23:18 2016	1456341798	432	1814	2246	287
Wed Feb 24 14:23:41 2016	1456341821	429	1827	2256	174
Wed Feb 24 14:23:37 2016	1456341817	440	1835	2275	219
Wed Feb 24 14:23:28 2016	1456341808	444	1836	2280	230
Wed Feb 24 14:23:51 2016	1456341831	424	1877	2300	187
Wed Feb 24 14:23:48 2016	1456341828	377	1926	2304	189
Wed Feb 24 14:23:32 2016	1456341812	498	1809	2307	200
Wed Feb 24 14:23:39 2016	1456341819	501	1808	2308	213
Wed Feb 24 14:23:53 2016	1456341833	491	1820	2311	198
Wed Feb 24 14:23:27 2016	1456341807	523	1792	2315	198
Wed Feb 24 14:23:46 2016	1456341826	430	1899	2329	244
Wed Feb 24 14:23:16 2016	1456341796	467	1892	2359	242
Wed Feb 24 14:23:35 2016	1456341815	446	1921	2367	247
Wed Feb 24 14:23:32 2016	1456341812	483	1889	2372	195
Wed Feb 24 14:23:16 2016	1456341796	519	1860	2379	216
Wed Feb 24 14:23:48 2016	1456341828	607	1826	2432	208
Wed Feb 24 14:24:29 2016	1456341869	371	2301	2673	189
Wed Feb 24 14:24:45 2016	1456341885	433	2442	2875	187
Wed Feb 24 14:23:29 2016	1456341809	457	2423	2880	202
Wed Feb 24 14:23:25 2016	1456341805	445	2595	3040	187
Wed Feb 24 14:24:52 2016	1456341892	1781	5491	7272	4835
