starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 24 14:21:47 2016	1456341707	727	1086	1813	192
Wed Feb 24 14:21:45 2016	1456341705	402	1649	2051	242
Wed Feb 24 14:21:45 2016	1456341705	402	1684	2086	204
Wed Feb 24 14:21:48 2016	1456341708	386	1716	2102	236
Wed Feb 24 14:21:42 2016	1456341702	411	1724	2135	211
Wed Feb 24 14:21:42 2016	1456341702	389	1749	2137	240
Wed Feb 24 14:21:52 2016	1456341712	450	1781	2231	184
Wed Feb 24 14:21:51 2016	1456341711	437	1960	2397	246
Wed Feb 24 14:21:47 2016	1456341707	684	1745	2430	238
Wed Feb 24 14:21:49 2016	1456341709	385	2412	2797	194
